Trip Id,Trip Duration (seconds),Start Station Id,Start Time,Start Station Name,End Station Id,End Time,End Station Name,Bike Id,User Type,Hour,AM_PM,Month,DayOfWeek,lat,lon,capacity,is_charging_station,nearby_distance,is_valet_station,weather_region,Temp (°C),Precip. Amount (mm)
31797595,1526,7267,09/01/2024 00:01,Dundas St E / Pembroke St - SMART,7204,09/01/2024 00:26,College St / Crawford St,4302,Casual Member,0,AM,September,Sunday,43.658295,-79.372346,15.0,False,1000.0,,TORONTO_CITY,18.9,0.0
31797596,552,7536,09/01/2024 00:01,Palmerston Ave / Dundas St W,7155,09/01/2024 00:10,Bathurst St / Lennox St,6587,Casual Member,0,AM,September,Sunday,43.651603,-79.408346,23.0,False,1609.34,,TORONTO_CITY,18.9,0.0
31797597,386,7418,09/01/2024 00:01,College Park - Yonge St Entrance,7508,09/01/2024 00:07,Berkeley St / Dundas St E - SMART,8703,Casual Member,0,AM,September,Sunday,43.65988,-79.38279,25.0,False,1609.34,,TORONTO_CITY,18.9,0.0
31797598,542,7095,09/01/2024 00:01,Danforth Ave / Ellerbeck St,7702,09/01/2024 00:10,111 Broadview Ave,1205,Casual Member,0,AM,September,Sunday,43.677076,-79.35667,14.0,False,500.0,,TORONTO_CITY,18.9,0.0
31797599,372,7720,09/01/2024 00:01,King St W / Portland St,7536,09/01/2024 00:07,Palmerston Ave / Dundas St W,4782,Casual Member,0,AM,September,Sunday,43.644395,-79.40065430000001,32.0,False,350.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797601,976,7724,09/01/2024 00:01,Wellesley St E / Parliament St,7724,09/01/2024 00:17,Wellesley St E / Parliament St,2378,Casual Member,0,AM,September,Sunday,43.6682342,-79.3702641,15.0,False,350.0,,TORONTO_CITY,18.9,0.0
31797602,747,7018,09/01/2024 00:01,Bremner Blvd / Rees St,7101,09/01/2024 00:13,Lower Sherbourne St / The Esplanade,3637,Casual Member,0,AM,September,Sunday,43.641529,-79.386741,49.0,False,500.0,False,TORONTO_CITY_CENTRE,19.8,0.0
31797603,609,7945,09/01/2024 00:01,,7399,09/01/2024 00:11,Lower Jarvis St / Queens Quay E,7563,Casual Member,0,AM,September,Sunday,43.64235480340359,-79.39519751877137,19.0,False,100.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797604,1161,7075,09/01/2024 00:01,Queens Quay W / Dan Leckie Way,7169,09/01/2024 00:20,Front St W / Bay St (North Side),4030,Casual Member,0,AM,September,Sunday,43.636533,-79.395854,27.0,False,500.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797606,719,7719,09/01/2024 00:01,Wolseley St / Augusta Ave,7252,09/01/2024 00:13,Robert St / Bloor St W - SMART,3688,Casual Member,0,AM,September,Sunday,43.6484201,-79.40051919999999,28.0,False,350.0,,TORONTO_CITY,18.9,0.0
31797608,2207,7409,09/01/2024 00:01,Isabella St / Church St,7158,09/01/2024 00:38,King St W / Stafford St,2489,Casual Member,0,AM,September,Sunday,43.66834,-79.38235,27.0,False,1609.34,,TORONTO_CITY,18.9,0.0
31797609,2108,7075,09/01/2024 00:01,Queens Quay W / Dan Leckie Way,7462,09/01/2024 00:37,Richmond St E / Yonge St,6984,Casual Member,0,AM,September,Sunday,43.636533,-79.395854,27.0,False,500.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797610,113,7761,09/01/2024 00:01,Moss Park,7110,09/01/2024 00:03,Queen St E / Berkeley St,9705,Casual Member,0,AM,September,Sunday,43.655972,-79.370638,15.0,False,350.0,,TORONTO_CITY,18.9,0.0
31797611,1301,7391,09/01/2024 00:01,Yonge St / Dundas Sq,7702,09/01/2024 00:23,111 Broadview Ave,3815,Casual Member,0,AM,September,Sunday,43.655766,-79.3802,31.0,False,1000.0,,TORONTO_CITY,18.9,0.0
31797613,519,7175,09/01/2024 00:01,HTO Park (Queens Quay W),7411,09/01/2024 00:10,Little Norway Park,9022,Casual Member,0,AM,September,Sunday,43.63796,-79.387502,27.0,False,500.0,False,TORONTO_CITY_CENTRE,19.8,0.0
31797614,905,7398,09/01/2024 00:02,York St / Lake Shore Blvd W,7292,09/01/2024 00:17,Granby St / Church St - SMART,5012,Casual Member,0,AM,September,Sunday,43.641952,-79.380723,19.0,False,1609.34,,TORONTO_CITY_CENTRE,19.8,0.0
31797616,488,7850,09/01/2024 00:02,Maud St / Adelaide St W,7135,09/01/2024 00:10,Hanna Ave / Liberty St,6606,Casual Member,0,AM,September,Sunday,43.6460145694434,-79.39960497726345,16.0,False,100.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797618,424,7203,09/01/2024 00:02,Bathurst St/Queens Quay(Billy Bishop Airport),7168,09/01/2024 00:09,Queens Quay / Yonge St,6105,Casual Member,0,AM,September,Sunday,43.635492,-79.398253,34.0,False,500.0,,TORONTO_CITY_CENTRE,19.8,0.0
31797619,1430,7389,09/01/2024 00:02,College Park - Gerrard Entrance,7033,09/01/2024 00:26,Union Station,799,Casual Member,0,AM,September,Sunday,43.658938,-79.383518,25.0,False,1000.0,,TORONTO_CITY,18.9,0.0
31797620,737,7333,09/01/2024 00:02,King St E / Victoria St,7245,09/01/2024 00:14,Tecumseth St / Queen St W - SMART,6321,Casual Member,0,AM,September,Sunday,43.6495789,-79.3762096,19.0,False,1000.0,,TORONTO_CITY,18.9,0.0
